Project,Dataset,Table
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220926
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20221003
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20221010
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20221017
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20221024
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20221031
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20221107
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20221114
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20221121
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20221128
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20221205
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20221212
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20221219
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20221226
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230109
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230116
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230123
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230130
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230206
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230213
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230220
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230227
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230306
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230313
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230320
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230327
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230403
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230410
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230417
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230424
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230612
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230619
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230626
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230703
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230724
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230731
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230807
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230814
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230821
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230828
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20230911
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20231030
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20231106
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20231211
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20231218
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20231225
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20240101
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20240108
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20240422
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20240429
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20211129
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220110
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220117
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220124
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220131
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220207
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220214
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220221
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220228
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220307
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220314
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220321
